INFO 2025-12-06 15:41:19,049 autoreload Watching for file changes with StatReloader
INFO 2025-12-06 15:41:25,581 basehttp "GET / HTTP/1.1" 200 889
WARNING 2025-12-06 15:41:25,708 log Not Found: /favicon.ico
WARNING 2025-12-06 15:41:25,709 basehttp "GET /favicon.ico HTTP/1.1" 404 179
INFO 2025-12-06 15:45:06,809 basehttp "OPTIONS /api/token/ HTTP/1.1" 200 0
INFO 2025-12-06 15:45:06,977 basehttp "POST /api/token/ HTTP/1.1" 200 483
INFO 2025-12-06 15:45:52,928 basehttp "OPTIONS /api/upload/files/ HTTP/1.1" 200 0
INFO 2025-12-06 15:45:52,957 basehttp "POST /api/upload/files/ HTTP/1.1" 201 305
INFO 2025-12-06 15:45:53,974 basehttp "OPTIONS /api/documents/1/ HTTP/1.1" 200 0
INFO 2025-12-06 15:45:53,977 basehttp "OPTIONS /api/documents/1/ HTTP/1.1" 200 0
INFO 2025-12-06 15:45:53,987 basehttp "GET /api/documents/1/ HTTP/1.1" 200 365
INFO 2025-12-06 15:45:53,993 basehttp "GET /api/documents/1/ HTTP/1.1" 200 365
INFO 2025-12-06 15:46:05,170 basehttp "OPTIONS /api/documents/1/finalize/ HTTP/1.1" 200 0
WARNING 2025-12-06 15:46:05,174 log Not Found: /api/documents/1/finalize/
WARNING 2025-12-06 15:46:05,174 basehttp "POST /api/documents/1/finalize/ HTTP/1.1" 404 179
INFO 2025-12-06 15:46:25,219 basehttp "PATCH /api/documents/1/ HTTP/1.1" 200 365
WARNING 2025-12-06 15:46:29,647 log Not Found: /api/documents/1/finalize/
WARNING 2025-12-06 15:46:29,648 basehttp "POST /api/documents/1/finalize/ HTTP/1.1" 404 179
INFO 2025-12-06 15:46:35,556 basehttp "OPTIONS /api/documents/ HTTP/1.1" 200 0
INFO 2025-12-06 15:46:35,574 basehttp "GET /api/documents/ HTTP/1.1" 200 417
INFO 2025-12-06 15:46:35,583 basehttp "GET /api/documents/ HTTP/1.1" 200 417
INFO 2025-12-06 15:46:39,192 basehttp "GET /api/documents/1/ HTTP/1.1" 200 365
INFO 2025-12-06 15:46:39,202 basehttp "GET /api/documents/1/ HTTP/1.1" 200 365
WARNING 2025-12-06 15:46:42,660 log Not Found: /api/documents/1/finalize/
WARNING 2025-12-06 15:46:42,660 basehttp "POST /api/documents/1/finalize/ HTTP/1.1" 404 179
INFO 2025-12-06 15:46:44,463 basehttp "GET /api/documents/ HTTP/1.1" 200 417
INFO 2025-12-06 15:46:44,472 basehttp "GET /api/documents/ HTTP/1.1" 200 417
INFO 2025-12-06 15:48:06,016 basehttp "POST /api/token/ HTTP/1.1" 200 483
INFO 2025-12-06 16:04:30,441 autoreload Watching for file changes with StatReloader
INFO 2025-12-06 16:04:35,316 basehttp "GET / HTTP/1.1" 200 889
INFO 2025-12-06 16:04:48,468 basehttp "OPTIONS /api/stats/ HTTP/1.1" 200 0
INFO 2025-12-06 16:04:48,469 basehttp "OPTIONS /api/stats/ HTTP/1.1" 200 0
INFO 2025-12-06 16:04:48,473 basehttp "GET /api/stats/ HTTP/1.1" 200 124
INFO 2025-12-06 16:04:48,474 basehttp "GET /api/stats/ HTTP/1.1" 200 124
INFO 2025-12-06 16:04:49,786 basehttp "GET /api/stats/ HTTP/1.1" 200 124
INFO 2025-12-06 16:04:49,787 basehttp "GET /api/stats/ HTTP/1.1" 200 124
INFO 2025-12-06 16:05:42,977 basehttp "OPTIONS /api/profile/ HTTP/1.1" 200 0
INFO 2025-12-06 16:05:42,984 basehttp "OPTIONS /api/profile/ HTTP/1.1" 200 0
INFO 2025-12-06 16:05:43,015 basehttp "GET /api/profile/ HTTP/1.1" 200 303
INFO 2025-12-06 16:05:43,018 basehttp "GET /api/profile/ HTTP/1.1" 200 303
INFO 2025-12-06 16:06:23,792 basehttp "POST /api/token/ HTTP/1.1" 200 483
INFO 2025-12-06 16:06:23,808 basehttp "GET /api/stats/ HTTP/1.1" 200 124
INFO 2025-12-06 16:06:23,810 basehttp "GET /api/stats/ HTTP/1.1" 200 124
INFO 2025-12-06 16:06:26,642 basehttp "OPTIONS /api/dashboard/stats/ HTTP/1.1" 200 0
